बश	bs
तो	to
आने	aane
दो	do
पहले	pehle
तो	to
भाई	bhai
ने	ne
की	ki
ऐसी	aisi
मार	mari
है	hai
के	ke
पूछो	pucho
नही	nahi
यार	yaar
तू	tu
जो	jo
व	v
ह	h
कसम	kasam
से	se
यार	yaar
दिल	dil
जीत	jeet
लिया	liya
तूने	tune
तुम्हे	tumhe
इन	in
सवब	sb
वबातो	bato
को	ko
इँहा	yha
लिख	likh
क्र	kr
कोई	koi
नहीं	nhi
होगा	hoga
क्यूंकि	kyunki
जैसा	jaisa
आप	aap
सोच	sochte
हो	ho
वैसी	waisi
सोच	soch
वाले	wale
भूत	bhut
कम	km
लोग	log
ही	hi
होते	hote
है	hai
इन	in
थे	the
एक	ek
बन्दे	bande
ने	ne
भी	bhi
आपकि	apki
नहीं	nhi
समझी	samjhi
धनिया	dhaniya
प्यार	pyar
करती	krti
ह	h
तू	tu
उस	usse
बात	bat
क्र	kr
उस	usse
मार	mar
राहा	rha
होगा	hoga
वो	wo
अंदर	andar
से	se
हार	har
किसी	kisi
को	ko
प्यार	pyar
मिलता	milta
नहीं	nhi
जिसको	jisko
मिलता	milta
ह	h
वो	vo
उसकी	uski
ही	hi
नहीं	nhi
क्र	kr
पाता	paata
और	aur
एक	ek
ही	hi
बार	baar
मिलती	milti
है	hai
ज़िन्दगी	zindagi
कोई	koi
नी	ni
है	hai
की	ki
मिलेगा	milega
किसी	kisi
की	ki
नी	ni
होती	hoti
सो	so
सो	so
सच्चि	sacchi
पहले	pehle
ज़रूर	zarur
सीख	sikh
लिओ	lio
सी	si
फिर	fir
जाना	jana
किसीके	kisike
के	ke
पास	paas
में	me
सवबसे	sbse
ज्यादा	jyada
और	aur
क	k
साथ	sath
खिल्वबाद	khilwad
बिहार	bihar
में	me
ही	hi
होता	hota
है	hai
देख	dekh
लो	lo
और	aur
देख	dekh
लो	lo
प्रकश	prakash
जा	jaa
एक	ek
का	ka
मालिक	maalik
है	hai
की	ki
है	hai
मस्त	mast
वाली	wali
वबानाय़ुङ्गि	banaungi
एकदम	ekdum
दोले	doley
शोले	sholey
करूंगी	karungi
मु	mu
तोुङ्गि	todungi
वापस	wapas
लड़की	ladki
ब	b
तो	toh
बनना	banna
है	hai
अरे	arey
ठीक	theek
है	hai
जब	jab
आपको	apko
देखेंगे	dekhengey
उनको	unko
ये	ye
भी	bhi
याद	yaad
नही	nahi
रहेगा	rahega
की	ki
ली	li
थी	thi
सो	so
ये	ye
लो	lo
दाल	daal
दो	do
क्या	kya
हुआ	hua
में	me
नही	nahi
आय़ेङ्गा	ayegakya
अपनी	apni
वबनना	bna
अपने	apne
हर	hr
को	ko
क्र	kr
ले	le
या	ya
फिर	phr
करके	krke
लकि	ldki
वबनजा	bnja
दोनों	dono
में	mein
बाज़ी	baazi
कवब	kb
पलट	palat
जाती	jati
है	hai
पाता	pta
ही	hi
नी	ni
चलता	chalta
हवा	hawa
नी	ni
लगता	lgta
कवब	kb
इनसान	insan
राजा	raja
से	se
वबन	bn
जाता	jata
ही	he
भाई	bhai
म	m
ओय़ाले	waaley
गये	gaye
अपनी	apni
माँ	maa
चने	ch***ne
हमारे	hamare
पास	paas
आ	aa
जय	jaya
कर	kar
कोई	koi
नहीं	nhi
होगी	hogi
होता	hota
है	hai
ये	ye
रस्ते	raste
बड़े	bade
मुश्किल	mushkil
ह्याय़दनत	hain!!don't
यार	yar
है	hai
तो	to
चुथिय़ापा	chutiyappa
फाइलाय़े	failaye
वबगेर	bagair
लोगों	logo
का	ka
खाना	khana
हज़म	hazam
नही	nahi
होता	hota
शरावब	shrab
य्याय़सि	jesi
चेय	chez
को	ko
हाथ	hath
लगती	lagati
हो	ho
अपने	apne
की	ki
सच्चाइ	sachai
जानने	janne
क	k
लिए	liye
जो	jo
हुआ	hua
वबहत	bht
आच्छा	acha
हुआ	hua
पता	pata
नही	nahi
तुम	tum
य्याय़सि	jesi
लड़कियाँ	ladkiya
ये	ye
सब	sab
करने	karne
के	ke
बढ़	bad
शेषे	sheshe
में	me
अपना	apna
चेहरा	chehra
क्याय़से	kese
देख	dekh
पति	pati
हो	ho
ओर	or
अब	ab
सर	sar
उठा	utha
क	k
ये	ye
भी	bhi
कहती	kehti
हो	ho
की	ki
उसकी	uski
गलती	galti
थी	thi
यार	yar
आजकल	ajkal
लड़के	ladke
तो	to
शरिफ	sharif
मिल	mil
जाते	jate
है	hai
लड़कियो	ladkiyo
का	ka
कोई	koi
ठिकाना	thikana
नही	nahi
थे	the
र	r
प	p
प	p
स	s
को	ko
को	ko
नीचादिखाने	neechadikhane
में	me
माजा	maja
आने	aane
लगा	laga
ही	he
आपके	aapke
घर	ghr
में	me
भी	bhi
तो	toh
या	ya
फिर	fir
सागा	saga
भाई	bhai
तो	toh
होगा	hoga
ना	na
क्या	kya
आप	ap
उनको	unko
क्र	kr
सजते	scte
हो	ho
आदर्शवबाद	aadarshwaad
की	ki
सोच	soch
रखते	rkhte
ह	h
पहले	pehle
अपने	apne
घर	ghr
से	se
शुरू	shuru
करो	kro
इय़ार	yr
तुमने	tumne
का	ka
किया	kiya
था	tha
सवबके	sbke
सामने	samne
ह	h
अब	ab
भी	bhi
अपना	apna
इय़ारि	zaari
रख	rkho
मेंइ	mei
एक	ek
बार	br
फिर	fir
तुम्हारे	tumhare
सामने	samne
होगा	hoga
कोई	koi
भी	bhi
यह	yaha
कोई	koi
ऐसा	aisa
बटा	bata
सकता	sakta
है	hai
जिसने	jisne
इतना	itne
कम	kum
मै	mai
इतनी	itni
ज्यादा	jyada
की	ki
हो	ho
कोई	koi
भी	bhiiiii
भाई	bhai
यार	yaar
यह	yaha
पे	pe
मत	mat
करो	karo
किसी	kisi
ओर	or
में	me
लिखना	likhna
शुरु	suru
करो	karo
बाकी	baki
लोगों	logon
का	ka
भी	bhi
होने	hone
का	ka
हक़	haq
है	hai
अगर	agr
भी	bhi
हो	ho
जाए	jae
तो	toh
वबहत	bht
वबि	bdi
बात	baat
ह	h
तू	tu
की	ki
बात	baat
क्र	kr
राहा	rha
ह	h
बाबा	baba
लोगों	logon
का	ka
को	ko
पूरे	pure
कपड़े	kapde
पहन	pehen
लेने	lene
चाहिए	chahiye
इतनी	itni
रात	raat
को	ko
बजे	baje
क	k
बार	baad
घुमना	ghumna
नही	nahi
चाहिए	chahiye
था	tha\
जानता	janta
सही	sahi
बात	baat
है	hai
यार	yaar
जब	jab
तक	tak
के	ke
उनके	unke
साथ	saath
नई	nai
होता	hota
से	say
उस	us
वाले	vale
मेरा	mera
वबहत	bhot
कुछ	kuch
सीख	seekh
गया	gaya
है	hai
उस	us
में	me
में	me
करने	krne
का	ka
मन	man
करता	krta
ही	he
ऐसा	aisa
कछ	kch
करने	krne
से	se
पेहले	phle
अपने	apne
क	k
में	me
सोचो	socho
जिन्होने	jinhone
तुमहे	tmhe
इतनी	itni
बड़ा	bada
किया	kiya
उन्हे	unhe
अकेला	akela
चोर	chor
क	k
क्याय़से	kese
जा	ja
सकति	skti
यार	yaar
इँहा	yha
करने	krne
से	se
क्या	kya
वो	wo
तेरे	tere
को	ko
देगा	dega
इय़ार	yr
उसको	usko
कहो	khud
से	se
बोल	bol
ये	ye
सारी	sari
चीजे	cheezein
इय़ार	yr
नहीं	nhi
समझता	samjhta
तो	toh
छोड़	chod
परे	parey
ओर	or
ब	b
वबहत	bht
लन्डडे	londe
ह	h
जो	jo
थालवबे	thalwe
ह	h
उनपे	unpe
करले	krle
मेहेङ्गाय़ि	mehengaayi
तो	toh
होगी	hogi
ही	hi
कलयुग	kalyug
आजकल	aajkal
तो	toh
एक	ek
लड़की	ladki
को	ko
अगर	agar
शादी	shaadi
क	k
बार	baad
कहो	kaho
की	ki
घर	ghar
की	ki
साफ़	saaf
सफाई	safai
करदो	krdo
तो	toh
की	ki
रख	rkh
लो	lo
या	yaa
कहो	khud
करलो	krlo
अगर	agar
मेहेङ्गाय़ि	mehengaayi
हुई	hui
ह	h
तो	toh
में	me
ब	b
हुई	hui
ह	h
ब	b
हुई	hui
ह	h
ब	b
बनी	bani
ह	h
ब	b
हुए	hue
हैं	hain
जागो	jaago
जागो	jaago
इय़ार	yr
का	ka
ये	ye
था	tha
की	ki
जो	jo
गरिवब	grib
घर	ghr
से	se
ही	he
उन्हे	unhe
फ़ायदा	fayda
मिले	mile
के	ke
भी	bhi
होते	hte
ही	he
मगर	mgr
उन्हे	unhe
क्यू	q
नहीं	nhi
मिलता	milta
कई	kai
सो	so
अगर	agr
कल	kal
को	ko
तू	tu
कुछ	kuch
वबनना	bna
नी	ni
ना	na
तो	to
तुझे	tujhe
पुछने	puchne
वाली	wali
ब	b
नी	ni
ह	h
वो	wo
सो	so
अभी	abhi
सम्भाल	smbhl
जा	ja
पे	pe
ध्यन	dhyn
लगा	lga
पे	pe
तो	to
बाद	bd
में	me
ब	b
ध्यन	dhyn
लगा	lga
सकता	skta
ह	h
ब	b
इय़ार	yr
चुथिय़े	chutiyen
होते	hoten
है	hai
वो	vo
लोग	log
जो	jo
के	ke
नाम	naam
पर	par
कर	kar
रहें	rahen
है	hai
को	ko
म	m
वो	vo
जो	jo
थे	the
वो	vo
व	v
सबके	sabke
सब	sab
नई	nai
सिर्फ़	sirf
का	ka
ही	hi
नाम	naam
आया	aaya
था	tha
ये	ye
सब	sab
चुथिय़ापा	chutiyapa
है	hai
ये	ye
सोच	soch
तुम	tum
लोगों	logo
ने	ne
ही	hi
वबदलनि	badalni
हह	hh
माँगने	mangne
सबसे	sabse
पहले	pehle
आ	aa
जाते	jate
हो	ho
अब	ab
लड़की	ladki
का	ka
आया	aya
तो	to
मेरी	meri
क्या	kya
गलती	galti
ह	h
हम	hume
ब	b
पसन्द	pasand
नी	ni
ह	h
पहले	pehle
कहता	kehta
है	hai
क	k
लिए	liye
कुछ	kuch
करना	karna
चाहता	chahta
हू	hu
फिर	fir
कहता	kehta
है	hai
की	ki
करूँगा	karunga
अबे	abe
जी	jee
क	k
तो	to
कुछ	kuch
कर	kar
नहीं	nhi
पाया	paya
क	k
लिए	liye
मरने	marne
क	k
बार	baad
रोते-तपते	rote-tadapte
मा	ma
बाप	bap
छोड़	chod
क	k
जाएगा	jayega
हाथ	hath
भर	bhar
का	ka
राहा	rha
होगा	hoga
जब	jab
पैदा	paida
हुआ	hua
होगा	hoga
इतना	itna
बड़ा	bada
तुझे	tjhe
इसी	isi
लिए	liye
किया	kiya
तेरे	tere
ने	ne
की	ki
थेक	thek
है	hai
बेटा	beta
अब	ab
तू	tu
लाश	lash
बन	ban
के	ke
हमारे	hamare
सामने	samne
आ	a
ओर	or
बाकी	baki
ज़िन्दगी	zindagi
क	k
लिए	liye
हम	hume
लाश	lash
बना	bana
के	ke
चला	chala
जा	jaa
की	ki
मै	mai
क	k
लिए	liye
कुछ	kuch
करना	karna
चाहता	chahta
हू	hu
यार	yaar
तेरे	tere
लिए	liye
उस	usse
भी	bhi
अच्छी	acchi
लड़की	ladki
लिखी	likhi
होगी	hogi
ऊपर	upar
वाले	wale
ने	ne
इन	in
तेरे	tere
खुश	khush
ह	h
की	ki
हमारा	hamara
लड़के	ladke
की	ki
लगने	lagne
वाली	wali
ह	h
और	aur
तू	tu
जिसके	jiske
लिए	liye
मरने	marne
जा	jaa
राहा	rha
ह	h
वो	wo
तेरी	teri
परवाह	parwah
भी	bhi
नहीं	nhi
करती	krti
होगी	hogi
सिर्फ	siirf
अगर	agr
आपने	aapn
बन	ban
ब	b
जो	jao
और	aur
में	mein
एक	ek
सा	saal
की	ki
से	se
ही	hee
फोट	fat
जाती	jaati
है	hai
देहस	dehs
को	ko
करने	krne
क	k
कटते	kte
है	hai
पर	pr
करना	krna
कोई	koi
नहीं	nhi
चाहता	chahta
है	hai
यवब	jb
तक	tk
को	ko
नहीं	nhi
करोगे	karoge
तवब	tb
तक	tk
कैसे	kaise
होगा	hoga
जा	jaha
हो	ho
और	aur
हो	ho
है	hey
सवबको	sbko
ऐसी	aisi
माँ	maa
मिले	mile
यार	yaar
पाता	pta
नहीं	nhi
क्यू	q
ये	ye
ऐसे	aise
कान	kaan
भरती	bharti
रहती	rehti
ह	h
दुसरो	dusro
क	k
बारे	baare
में	me
मेरी	meri
ब	b
एक	ek
ह	h
उस	use
ब	b
उसके	uske
ने	ne
एक	ek
से	se
उठाया	uthaya
ह	h
उसकी	uski
हामेसा	hmesha
उसके	uske
को	ko
चढ़ती	chadhati
रहती	rehti
ह	h
ओर	or
वो	wo
बेचारी	bechari
हामेसा	hmesha
हम	hum
से	se
क्र	kr
क	k
रोने	rone
लगति	lgti
ह	h
है	hey
तवब	tb
का	ka
ज़माना	zamana
था	tha
मै	mai
उस	usse
बहुत	bohot
करती	krti
थी	thi
बार	baad
म	m
मुझे	mjhe
पाता	pta
लगा	lga
क	k
वो	wo
मेरे	mere
ही	hi
का	ka
बंदा	banda
है	hai
मै	mai
उसे	usee
करती	krti
थी	thi
बार	baad
म	m
प्तानि	ptani
कैसे	kaise
प्यार	pyar
हो	ho
गया	gya
उस	usse
बहुत	bohot
क	k
क	k
बार	baad
हम	hm
म	m
हो	ho
ग्याय़े	gye
सवब	sb
कुछ	kuch
आच्छा	acha
चल	chl
राहा	rha
था	tha
हामारे	hmare
बेच	bech
मतलवब	matlb
वो	wo
ब	b
मुझे	mjhe
प्यार	pyar
करता	krta
था	tha
बहुत	bohot
उसने	usne
घर	ghr
म	m
ब	b
वबता	bta
रखा	rkha
था	tha
म	m
उसको	usk
घर	ghr
ब	b
घड़ी	gai
हुई	hui
थी	thi
उसको	usk
स	s
मिलने	milne
थे	the
की	ki
उसका	uska
प्यार	pyar
इतना	itna
था	tha
क	k
वो	wo
मेरे	mere
साथ	saath
फ्य	phy
चाहता	chahta
था	tha
जो	jo
की	ki
मैंने	maine
उस	usse
कभि	kbi
नी	ni
की	ki
वबश	bs
यही	yehi
चीज़	chiz
हामारे	hmare
को	ko
बिगड़	bigad
रहि	rhi
थी	thi
हामारि	hmari
हार	har
लाइ	ladai
इसी	issi
को	ko
लेकर	lekr
होती	hoti
थी	thi
हामेसा	hmesha
मै	mai
ब	b
बहुत	bohot
परेशां	pareshan
थी	thi
इस	iss
बात	baat
को	ko
लेकर	lekr
मै	mai
उसको	usko
हामेसा	hmesha
हर	hr
खुशी	khushi
देती	deti
थी	thi
ये	ye
ही	hi
नी	ni
दे	de
सकति	skti
थी	thi
इस	iss
वजह	wajah
स	s
हामारे	hmre
बेच	bech
दूरिया	duriya
बढ़	badh
गयी	gayi
अब	ab
हो	ho
ग्याय़े	gye
थे	the
को	ko
तवब	tb
मुझे	mjhe
पाता	pta
चला	chala
क	k
उसका	uska
किसी	kisi
ओर	or
क	k
साथ	saath
है	hai
तवब	tb
हामारा	hmara
हो	ho
गया	gya
अब	ab
उसने	usne
उस	uss
दूसरी	dusri
लड़की	ladki
क	k
साथ	saath
क्र	kr
लिय़ा	lia
अब	ab
वो	wo
मेरे	mere
पास	paas
ओय़ाप्स	waps
आना	aana
चाहता	chahta
है	hai
मै	mai
तो	to
अभी	abhi
ब	b
उस	usse
बहुत	bohot
प्यार	pyar
करती	krti
हू	hu
मै	mai
ऐसे	aise
उस	usse
कैसे	kaise
करु	kru
इतनी	itni
क	k
साथ	saath
म	m
कैसे	kaise
जीउ	jeeu
मै	mai
बहुत	bohot
हू	hu
मै	mai
उस	usse
बात	baat
करती	krti
हू	hu
अभी	abhi
ब	b
क्या	kya
करु	kru
मै	mai
अब	ab
गन्दलफ	gandalf
देख	dekh
मेरी	meri
बात	baat
सुन	sun
मैं	main
बन्दे	bande
को	ko
नई	nai
जानता	janta
पर	par
तेरी	teri
बातों	baato
से	se
लगता	lagta
है	hai
की	ki
वो	wo
तेरे	tere
को	ko
फिर	fir
से	se
धोका	dhoka
दे	de
सकता	sakta
है	hai
सो	so
थे	the
दिल	dil
के	ke
साथ	sath
दिमाग	dimag
की	ki
भी	bhi
शुना	sunna\
राइट्स	rights
हिन्दू	hindu
साले	saale
और	aur
को	ko
करोगे	karoge
तो	toh
यही	yahi
होगा	hoga
ना	na
जो	jo
हिन्दू	hindu
द्याङ्गो	dango
की	ki
वबजा	wjh
से	se
को	ko
नी	ni
करते	krte
लानत	lanat
ह	h
उनके	unke
पैदा	paida
होने	hone
पर	par
उन	un
चुथिय़ो	chutiyo
क	k
भाइचारे	bhaichare
क	k
वबजा	wjh
से	se
हिन्दुओ	hinduo
की	ki
प्रजाति	prajati
जळी	jaldi
ही	hi
वबिलुप्त	vilupt
होने	hone
वाली	wali
ह	h
इन	in
इस	is
हिन्दुताभ	hindutav
हिन्दुताभ	hindutav
इस	is
इस	is
मैं	main
वबरफि	barfi
ब	b
थे	the
से	say
तो	to
ब	b
म	m
ओर	or
ब	b
दस	ds
जब	jab
मियाँ	miya
बीवी	biwi
रानी	raazi
तो	to
क्या	kya
करेगा	karega
काजी	qazi
अब	ab
समझ	samjh
जा	ja
आ	a
लव	love
यार	yaar
तुझे	tujhe
पता	pata
भी	bhi
ह	h
या	yaa
फिर	fir
ऐसे	aise
ही	hi
अँधेरे	andhere
में	mein
तीर	teer
मरता	marta
रहता	rehta
ह	h
ही	he
चल	chal
चुथिय़े	chutiyee
ज़िंदगी	zindagii
इसी	issi
चुथिय़ाप	chutiyaap
मेंइ	mei
निकाल	nikaal
देना	dena
गान्डडु	gaandu
इसको	isko
फेकु	feku
का	ka
क्या	kya
कोई	koi
जानता	janta
है	hai
क	k
मै	mai
थी	thi
आज	aaj
देश	desh
चला	chala
रही	rahi
है	hai
कन	kon
कहता	kehta
है	hai
लड़की	ladki
हसी	hasi
तोफासि	tofasi
अर्ज़	arz
किया	kiya
है	hai
हँसना	hasna
तो	to
लड़की	ladki
की	ki
अदा	ada
है	hai
जो	jo
इस	ise
महवब्वबते	mohbat
समझे	samje
वो	wo
गाधाइ	gadhahai
साला	sala
सेय़ाना	syana
बन	ban
रा	ra
था	tha
निकला	nikla
तू	tu
फुदु	fudu
बंदा	banda
वबेठ	beth
क	k
सोचता	sochta
है	hai
थाने	thane
में	mein
की	ki
अब	ab
मेरी	meri
मा	ma
वबेन	bhen
एक	ek
होगी	hogi
तू	tu
साला	sala
डडालने	daalne
में	mein
लगा	lga
हुआ	hua
है	hai
अपना	apna
जलुस	jaloos
निकलवबा	niklwa
क	k
बड़ा	bada
मज़ा	maza
आता	aata
है	hai
ओर	or
को	ko
भी	bhi
नंगा	nanga
करके	krkey
पेहचाना	pahunchana
है	hai
देशद्रोहि	desdrohi
सोनिया	soniya
बीते	bete
तुम्हारी	tumhari
तो	toh
बहुत	bohot
बुरी	buri
तरह	tarha
फटि	phati
ओर	or
लीं	lee
हसी	hasi
तो	to
फाँसि	phasi
इसका	iska
मतलवब	mtlb
तो	to
जान	jan
गया	gya
ना	na
और	aur
शुनले	sunle
है	hey
तो	to
ब	b
तो	to
में	me
इन	in
ओर	or
से	say
से	say
से	say
थे	the
म	m
आमीन	ameen
स	s
थे	the
से	say
यार	yar
तो	toh
आ	a
अरे	arey
कुदोस	kudos
आज	aaj
क	k
कम	kam
से	se
कम	kam
होंगे	honge
और	aur
भाई	bhai
घोटाला	ghotala
कैसे	kaise
करते	karte
है	hai
अपने	apne
को	ko
भी	bhi
बताओ	batao
सा	saal
क	k
बार	baad
था	th
मस्त	mast
हो	ho
ही	hi
जानी	jaani
है	hai
आमीन	ameen
भाई	bhai
अगर	agr
आपको	apko
व	v
क्र	kr
दिया	diya
जाए	jaye
तो	to
किस	kis
तरहा	trh
से	se
अपने	apne
आप	aap
को	ko
के	ke
बुरी	buri
आत्मा	atma
से	se
बचा	bacha
पाओगे	paoge
आपको	apko
क्या	kya
तकलिफ	taklif
ह	h
से	se
आप	aap
पहले	pahle
व	v
थे	the
अब	ab
व	v
हो	ho
व	v
वबने	bne
रहगे	rhoge
यार	yar
बीच	beech
मेंइ	mei
जो	jo
ह	h
वबाँहा	whan
स	s
हाथ	hath
निकला	nikala
ह	h
इन	in
ये	ye
अपने	apne
की	ki
ज़ंजीर	zanjeer
पर	par
लटका	latka
हुआ	hua
है	hai
इसने	isne
समोसे	samose
क	k
साथ	sath
हरी	hari
चाटनि	chatni
खाई	khayi
थी	thi
बाबा	baba
की	ki
कृपा	kripa
है	hai
इसपार	ispar
आवबे	abey
ढढक्कन	dhakkan
देख	dekh
तो	to
ले	le
उसका	uska
हाथ	hath
का	ka
अंदर	andar
से	se
निकला	nikla
ह	ha
के	ke
आने	aaney
पे	pe
कुत्ते	kuttey
तक	tak
ही	hi
इस्तेमाल	istemaal
होते	hotey
है	hai
उसकी	uski
मै	mai
और	aur
यहाँ	yahan
का	ka
का	kaam
कर	kar
रही	rahi
आई	ai
मै	mai
लोक	lok
सभा	sabha
उस	us
और	aur
वाली	wali
में	me
सीधा	sidha
नेचे	neche
जादूगर	jaadugar
का	ka
जादू	jaadu
हाथो	hatho
का	ka
कमाल	kamaal
ह	h
ह	h
क्यू	kyu
दिमाग	dimag
लगा	laga
रह	rahe
हो	ho
अपना	apna
ओर	or
तो	to
व	v
सो	so
व	v
इट्स	its
व	v
व	v
तो	to
यह	yeh
इश्क़	isq
नही	nahi
आसान	aasan
बस	bus
आग	aag
का	ka
दरिया	dariya
है	hai
डडुवबना	doubna
ही	hi
डडुवबना	doubna
है	hai
चादर	chadar
ओढ़	odh
के	ke
चुपचाप	chupchaap
सो	so
जो	jao
नींद	neend
अच्छी	achi
आएगी	aayegi
हिन्दू	hindu
लड़का	ladka
लड़की	ladki
वबि	bdi
नाइनसाफि	nainsaafi
ह	h
इस	is
सो	so
भाई	bhai
अंग्रेज़ी	angrezi
सुधार	sudhar
ले	le
पहले	pehle
कोई	koi
कर	kar
ले	le
अंग्रेज़ी	angrezi
शिखते	seekhte
शिखते	seekhte
अपने	apne
आप	aap
भूल	bhool
जाएगा	jayega
उसे	use\
ओय	oye
काके	kake
यही	yehi
ह	h
वबश	bs
आज	aaj
की	ki
की	ki
कल	kal
कुछ	kuch
हुआ	hua
गलत	galat
तो	toh
आज	aaj
सही	sahi
चाहिय़े	chhiye
अबे	abe
चुचु	chuchu
लगेगा	lagega
अचानक	achanak
से	se
सवब	sb
होता	hota
ह	h
तो	toh
ऐसे	aise
ही	he
करते	krte
ह	h
सवब	sb
दे	de
उसके	uske
को	ko
कहो	khud
को	ko
और	aur
सोच	soch
क	k
का	kyaa
करना	krna
ह	h
तो	to
सालों	saalo
से	se
पहले	pehle
की	ki
बात	baat
करदि	krdi
मादर	madar
प्यार	pyaar
था	tha
या	ya
सांप	saap
सीधी	sidi
का	ka
इय़ारा	yaaara
प्याय़ार	pyaaar
में	mein
तो	toh
लोग	log
सरकारे	sarkarein
गिरा	giraa
दे	de
तू	tu
आंसू	aansu
गिरके	girake
क्या	kya
साबित	sabit
क्र	kr
राहा	rha
ह	h
पढ़ाई	padhai
कर	kar
ले	le
क	k
बार	baad
घर	ghar
से	se
उा	udda
क	k
ले	le
जैयो	jaiyo
सवबर	sabr
का	ka
फल	fal
मीठा	meetha
होता	hota
है	hai
क	k
बढ़	bad
पड़ने	padne
का	ka
मान	mann
ही	hi
नी	ni
किया	kiya
ये	ye
तो	to
कुछ	kuch
यादा	zaada
ही	hi
वबकवबास	bakwas
वाली	wali
अंग्रेज़ी	angrezi
हो	ho
ग्याय़ि	gyi
उस	us
से	say
से	say
साले	saale
इतना	etna
तो	tou
स	s
नी	ni
होता	hota
जितनी	jitni
तेरी	teri
है	hai
लोग	log
की	ki
इतनी	itni
एइसि-तेइसि	ese-tesi
क्याय़से	kese
क्र	kr
सकते	skte
ह	h
बार	baad
में	me
सोचना	sochna
उस	use
चल	chal
होग्याय़े	hgya
तेरी	teri
प्रेम	prem
खानाइ	khanani
चल	chal
अब	ab
दीमाग	demaag
मत	mat
खा	kha
ओर	or
सोजा	soja
बन	ban
जा	jaa
इशकहादे	ishaqshaade
बन	ban
जा	jaa
एक	ek
ऐसी	aisi
लड़की	ladki
हूँ	hoon
जो	jo
बहुत	bahut
की	ki
की	ki
की	ki
तरह	tarah
के	ke
सामने	samne
ऐसे	aise
सिर्फ़	sirf
है	hai
मेरे	mere
में	me
इतनी	itni
की	ki
की	ki
में	me
अपने	apne
या	ya
से	se
भी	bhi
कुछ	kuch
भी	bhi
नहीं	nhi
करती	krti
मेरी	meri
दादी	dadi
की	ki
तबीयत	tabiyat
बहुत	bahut
ज्यादा	zyada
खराब	kharab
है	hai
दादी	daadi
मेरी	meri
दादी	daadi
ने	ne
कभी	kabhi
भी	bhi
मुझे	muje
या	ya
मेरे	mere
भाई	bhai
को	ko
प्यार	pyar
नहीं	nhi
किया	kiya
अब	ab
अभी	abhi
भी	bhhi
और	aur
मेरे	mere
के	ke
इतना	itne
अच्छे	ache
नहीं	nhi
है	hai
उन्हे	unhe
मेरी	meri
शाकाल	shakal
से	se
ही	hi
गुस्सा	gussa
आता	ata
है	hai
मेरी	meri
तू	tu
मार	mar
क्यू	kyu
नहीं	nhi
जाती	jati
शांति	shanti
मिलेगि	milegi\
ओर	or
इय़ार	yr
नी	ni
करेङ्गे	krnge
त	t
कौन	kaun
करेगा	krega
दादी	dadi
दादी	daadi
दादी	dadi
डड्याडडमाम	dad/mum
ओर	or
बढ़	bad
कुदोस	kudos
आ	a
ब	b
ब	b
में	me
आ	a
आ	a
ओर	or
तो	to
भी	bhi
पागल	pagal
है	hai
सोचा	socha
इतना	itna
लम्बा	lamba
है	hai
दाल	daal
देता	deta
हूँ	hoon
कहानी	kahani
घर	ghar
घर	ghar
की	ki
जुस	jus
म	m
से	say
ब	b
सो	so
बोला	bola
है	hai
आँखे	aankhe
खोलो	kholo
ऐसा	aisa
नी	ni
है	hai
सो	so
ढढुन्डडो	dhundo
उस	use
चल	chal
जो	jo
भी	bhi
हो	ho
त	t
रुय़े	rue
साजा	sja
तो	to
देना	dena
भाना	bhana
ह	h
इस	is
की	ki
पूरी	puri
रकम	rakam
इन	in
नेताओ	netao
से	se
उसुल	wasool
करनि	krni
है	hai
इसमें	isme
इकि	inoki
नीलम	nilam
तक	tk
क्रा	kra
दो	do
वबिय़ा	badiya
रहेगा	rhega
सुवबाग	subag
हरी	hari
ओम	om
रात	raat
में	mein
सुबह	subah
अगर्बत्ती	agarbatti
रात	raat
को	ko
यवबरदस्ति	zabardastti
दिन	din
में	mein
स्वबाहा	swaha
रात	raat
में	mein
आहा	aaha
च	co
स	s
वबाह	bwaha
एक	ek
दिन	din
म	m
आ	aa
गा	gae
रीच	reech
की	ki
अउलाद	aulad
ठिक	thk
ह	h
चत	ch**t
को	ko
भी	bhi
कभी	kabhi
कर	kar
लिय़ा	lia
करो	karo
वहां	wahan
तो	to
जंगल	jangal
बना	bana
रहता	rehta
तो	to
करदिय़ा	kardiya
दामाल	damal
करदिय़ा	kardiya
छद्दि	chaddi
फाद	phad
क्र	kr
रमाल	romal
करदिय़ा	kardiya
इतना	etna
लम्बा	lamba
कन	kon
पाय़ेगा	padhega
को	ko
एक	ek
वबिलान्द	bilaand
छोटा	chhota
कर	kar
दो	do
म	m
तुम	tm
लोगों	logo
की	ki
वबति	bdti
जा	ja
रहि	rhi
शरीक़	shariq
हम	hum
साथ	sath
साथ	sath
साथ	sath
साथ	sath
साथ	sath
है	hai
गीली	geeli
वाली	wali
तो	to
से	se
पहले	pehle
अपना	apna
मूह	muh
साफ़	saaf
क्र	kr
अपने	apne
पास	paas
रख	rakh
अपने	apne
मूह	muh
में	me
जनहित	janhit
में	me
जारी	jaari
अब	ab
वबो	bho
अकेला	akela
हू	hu
मुझे	mijhe
अभी	abhi
तक	tak
कोई	koi
नही	nahi
मिली	mili
पता	pata
ह	h
किओ	kiyo
लिए	liye
किओ	kiyo
की	ki
पास	ps
जड़ा	jada
पय़से	pese
नही	nahi
ह	h
